t_type,     client, tx,     amount
withdrawal, 1,      1,      1.5
withdrawal, 2,      2,      2.5
withdrawal, 3,      3,      3.5
deposit,    1,      4,      1.5
deposit,    2,      5,      2.5
deposit,    3,      6,      3.5
deposit,    1,      7,      1.5
withdrawal, 1,      8,      1.5
withdrawal, 1,      9,      100.45
deposit,    2,      10,     2.5
deposit,    3,      11,     3.5
withdrawal, 3,      12,     3.5
withdrawal, 3,      13,     300.888
deposit,    1,      14,     1.5
deposit,    3,      15,     3.5
deposit,    2,      16,     2.5
withdrawal, 2,      17,     2.5
withdrawal, 2,      18,     236.78
deposit,    3,      19,     3.5
deposit,    2,      20,     2.5
deposit,    1,      21,     1.5
deposit,    1,      22,     1.5
deposit,    2,      23,     2.5
deposit,    3,      24,     3.5
withdrawal, 3,      25,     3.5
withdrawal, 2,      26,     2.5
withdrawal, 1,      27,     1.5
deposit,    2,      28,     2.5
deposit,    3,      29,     3.5
deposit,    1,      30,     1.5
